"symbolid","pricedatetime","open","high","low","close"
900745,2016-02-26,1.1059,1.10675,1.091,1.09288
900745,2016-02-28,1.09145,1.09379,1.091,1.0932
900745,2016-02-29,1.09328,1.09635,1.0858,1.0884
900745,2016-03-01,1.0885,1.08945,1.0833,1.08582
900745,2016-03-02,1.0858,1.0877,1.0824,1.0858
900745,2016-03-03,1.0859,1.09732,1.0852,1.0944
900745,2016-03-04,1.09441,1.1044,1.0902,1.10062
900745,2016-03-06,1.09915,1.09985,1.0983,1.099
900745,2016-03-07,1.0989,1.10297,1.0939,1.1015
900745,2016-03-08,1.10143,1.10585,1.0966,1.0973
900745,2016-03-09,1.0972,1.1036,1.0945,1.0974
900745,2016-03-10,1.1199,1.12155,1.1162,1.11665
900745,2016-03-11,1.11672,1.1194,1.1079,1.11466
900745,2016-03-13,1.113805,1.1177,1.1137,1.1159
900745,2016-03-14,1.11583,1.11675,1.107765,1.11085
900745,2016-03-15,1.11082,1.1126,1.107145,1.110005
900745,2016-03-16,1.11,1.12412,1.105765,1.12257
900745,2016-03-17,1.12263,1.13435,1.1216,1.13203
900745,2016-03-18,1.1315,1.13215,1.1255,1.1269
900745,2016-03-20,1.126465,1.1286,1.12516,1.1274
900745,2016-03-21,1.12746,1.128555,1.1233,1.12528
900745,2016-03-22,1.12562,1.1261,1.1187,1.121
900745,2016-03-23,1.1209,1.1211,1.1157,1.11761
900745,2016-03-24,1.1176,1.11874,1.1143,1.11601
900745,2016-03-25,1.1159,1.11758,1.1154,1.11629
900745,2016-03-27,1.11619,1.11674,1.1152,1.1164
900745,2016-03-28,1.11635,1.12198,1.1156,1.1198
900745,2016-03-29,1.11995,1.1303,1.1168,1.1293
900745,2016-03-30,1.1292,1.13653,1.129,1.1315
900745,2016-03-31,1.13801,1.13895,1.136655,1.13714
900745,2016-04-01,1.1374,1.14385,1.1334,1.139
900745,2016-04-03,1.14011,1.1413,1.138705,1.13885
900745,2016-04-04,1.1387,1.14105,1.1357,1.139615
900745,2016-04-05,1.1395,1.14018,1.13358,1.136965
900745,2016-04-06,1.141,1.14135,1.1392,1.1396
900745,2016-04-07,1.1397,1.14539,1.1336,1.1366
900745,2016-04-08,1.1367,1.14192,1.1348,1.13939
900745,2016-04-10,1.14165,1.1426,1.1395,1.140885
900745,2016-04-11,1.14088,1.1448,1.1372,1.1403
900745,2016-04-12,1.1402,1.14655,1.13452,1.13697
900745,2016-04-13,1.1368,1.13725,1.125335,1.12665
900745,2016-04-14,1.12653,1.129565,1.12335,1.12638
900745,2016-04-15,1.1261,1.131785,1.1244,1.12827
900745,2016-04-17,1.130165,1.1308,1.127585,1.12853
900745,2016-04-18,1.12853,1.133265,1.12735,1.132515
900745,2016-04-19,1.1324,1.138555,1.13148,1.137025
900745,2016-04-20,1.13696,1.13884,1.128665,1.12973
900745,2016-04-21,1.1297,1.13984,1.127,1.130225
900745,2016-04-22,1.1301,1.13065,1.1217,1.12241
900745,2016-04-24,1.1219,1.1248,1.1215,1.1242
900745,2016-04-25,1.1254,1.1279,1.1242,1.1269
900745,2016-04-26,1.127,1.13402,1.1255,1.1305
900745,2016-04-27,1.13044,1.136175,1.12703,1.1329
900745,2016-04-28,1.13294,1.138975,1.1309,1.1384
900745,2016-04-29,1.1385,1.14605,1.1369,1.14445
900745,2016-05-01,1.14595,1.14815,1.1452,1.14677
900745,2016-05-02,1.1467,1.15431,1.1447,1.15305
900745,2016-05-03,1.15316,1.16165,1.1475,1.1477
900745,2016-05-04,1.1476,1.15296,1.1466,1.14867
900745,2016-05-05,1.1486,1.1495,1.1385,1.1402
900745,2016-05-06,1.1401,1.148125,1.1385,1.1403
900745,2016-05-08,1.1396,1.1406,1.1379,1.13997
900745,2016-05-09,1.1399,1.14205,1.1369,1.13733
900745,2016-05-10,1.13799,1.141005,1.135815,1.13821
900745,2016-05-11,1.1381,1.1448,1.1379,1.142495
900745,2016-05-12,1.14234,1.14285,1.13666,1.137465
900745,2016-05-13,1.1372,1.13775,1.1282,1.13063
900745,2016-05-15,1.1309,1.13152,1.1304,1.13071
900745,2016-05-16,1.1325,1.1325,1.1312,1.1317
900745,2016-05-17,1.1286,1.12924,1.1283,1.12865
900745,2016-05-18,1.12242,1.1226,1.122,1.122
900745,2016-05-19,1.12022,1.1208,1.1202,1.1203
